                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                  1.612,                0.83634,                0.89539,                0.57892,                0.70872,                0.45821,                0.25569,                 1.9326,                 3.2395,                0.99111,             0.00017331,             0.00017331,             0.00017331
                     76,                  1.587,                0.84501,                0.90164,                0.57823,                 0.7066,                0.48504,                0.28236,                 1.9084,                 3.3223,                0.98414,             0.00016713,             0.00016713,             0.00016713
                     77,                 1.5774,                0.83513,                0.90336,                0.58054,                 0.7108,                 0.4614,                0.26392,                 1.9037,                 3.1998,                 0.9833,             0.00016094,             0.00016094,             0.00016094
                     78,                 1.5906,                0.82938,                0.89489,                0.57797,                0.70802,                0.46074,                0.26656,                 1.8949,                  3.106,                0.98357,             0.00015475,             0.00015475,             0.00015475
                     79,                 1.6048,                0.83435,                0.89395,                 0.5792,                0.70978,                 0.4694,                0.26953,                 1.9178,                 3.3371,                 0.9857,             0.00014856,             0.00014856,             0.00014856
                     80,                 1.5958,                0.84915,                0.89243,                0.57999,                0.71061,                 0.4389,                0.25791,                 1.8581,                 3.2771,                0.98096,             0.00014237,             0.00014237,             0.00014237
                     81,                 1.6108,                0.83896,                0.89635,                0.57776,                0.70724,                0.48241,                0.27723,                 1.9425,                 2.9398,                0.98583,             0.00013619,             0.00013619,             0.00013619
                     82,                 1.5915,                0.83886,                0.89387,                0.57907,                0.70953,                0.43901,                0.25098,                 1.8974,                  3.436,                0.98368,                0.00013,                0.00013,                0.00013
                     83,                 1.5795,                0.82392,                0.89183,                0.58015,                0.71042,                0.47876,                0.28156,                  1.897,                 3.0445,                0.98078,             0.00012381,             0.00012381,             0.00012381
                     84,                 1.6048,                 0.8227,                0.89131,                0.57912,                0.70892,                0.47303,                0.28128,                 1.8723,                 3.0308,                0.97813,             0.00011763,             0.00011763,             0.00011763
                     85,                 1.5957,                0.83459,                0.89471,                0.57925,                0.70938,                0.45514,                0.24849,                 1.9689,                 3.4548,                0.99541,             0.00011144,             0.00011144,             0.00011144
                     86,                 1.5732,                0.81875,                0.89506,                0.57969,                0.71025,                0.47084,                0.27175,                 1.8908,                 3.1519,                0.98163,             0.00010525,             0.00010525,             0.00010525
                     87,                  1.559,                0.81302,                 0.8917,                0.57943,                0.70983,                0.45931,                0.26684,                 1.8825,                 3.2711,                0.98503,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     88,                  1.557,                0.82752,                0.89398,                0.57981,                0.71045,                0.48239,                0.27894,                 1.8834,                 3.1394,                0.97987,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                 1.5615,                0.81613,                0.89707,                0.57789,                0.70768,                0.45501,                 0.2599,                 1.9074,                 3.2572,                0.98211,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     90,                 1.5625,                0.81846,                0.89254,                0.57865,                0.70813,                0.50768,                0.29868,                 1.8635,                 3.1157,                 0.9792,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                 1.5675,                 0.8473,                0.91428,                0.57957,                0.71055,                0.49012,                0.28714,                 1.8902,                 3.0576,                0.98014,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                 1.5601,                0.84247,                0.91618,                0.57977,                0.71013,                0.51284,                0.30499,                 1.8849,                 3.1507,                0.98038,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     93,                 1.5375,                0.84434,                0.91023,                0.57894,                0.70909,                0.48295,                0.28348,                 1.8893,                 3.2003,                0.98092,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     94,                 1.5232,                0.83124,                0.91055,                0.57963,                 0.7098,                0.48719,                0.28578,                 1.8945,                 3.3064,                0.98191,              5.575e-05,              5.575e-05,              5.575e-05
                     95,                 1.5298,                0.82193,                 0.9138,                0.57875,                0.70922,                0.47595,                0.27916,                 1.9036,                 3.1857,                0.98322,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     96,                  1.517,                0.83207,                0.91341,                0.57912,                0.70917,                0.47437,                0.27514,                 1.9043,                  3.304,                0.98364,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     97,                  1.512,                0.83156,                0.90496,                 0.5788,                0.70913,                0.44998,                0.26266,                 1.8806,                 3.1781,                0.97831,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     98,                 1.5123,                0.82438,                0.90713,                0.57868,                0.70908,                0.45958,                 0.2678,                 1.8839,                 3.2146,                0.97931,                3.1e-05,                3.1e-05,                3.1e-05
                     99,                 1.5179,                0.81778,                0.90311,                0.57851,                0.70865,                0.46864,                 0.2732,                 1.8901,                 3.1992,                 0.9805,             2.4813e-05,             2.4813e-05,             2.4813e-05
                    100,                 1.5461,                0.82808,                0.90721,                0.57871,                0.70864,                0.46963,                0.27611,                 1.8892,                 3.1718,                0.97983,             1.8625e-05,             1.8625e-05,             1.8625e-05
